,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
126,default,50.0,4.0,default/gate_count/i_18_cnt_50,55.0,33.0,17.0,72.0,0.0,0.0,-4.76837158203125e-07,11.0
127,tket,50.0,4.0,default/gate_count/i_18_cnt_50,40.0,20.0,9.0,49.0,0.0,0.0,-0.051206111907958984,8.0
128,qiskit,50.0,4.0,default/gate_count/i_18_cnt_50,55.0,33.0,17.0,72.0,0.0,0.0,-0.01750946044921875,11.0
129,tpar,50.0,4.0,default/gate_count/i_18_cnt_50,80.0,46.0,9.0,89.0,0.0,0.0,-0.07905983924865723,40.0
130,voqc,50.0,4.0,default/gate_count/i_18_cnt_50,69.0,36.0,9.0,78.0,0.0,0.0,-0.10681343078613281,11.0
131,qfast,50.0,4.0,default/gate_count/i_18_cnt_50,33.0,53.0,47.0,80.0,0.0,0.0,-6.5681352615356445,11.0
132,pyzx,50.0,4.0,default/gate_count/i_18_cnt_50,32.0,26.0,7.0,39.0,0.0,0.0,-0.06456708908081055,16.0
133,default,50.0,4.0,default/gate_count/i_19_cnt_50,58.0,41.0,18.0,76.0,0.0,0.0,-7.152557373046875e-07,10.0
134,tket,50.0,4.0,default/gate_count/i_19_cnt_50,32.0,25.0,6.0,38.0,0.0,0.0,-0.049530029296875,9.0
135,qiskit,50.0,4.0,default/gate_count/i_19_cnt_50,58.0,41.0,18.0,76.0,0.0,0.0,-0.017916440963745117,10.0
136,tpar,50.0,4.0,default/gate_count/i_19_cnt_50,52.0,38.0,8.0,60.0,0.0,0.0,-0.06986427307128906,20.0
137,voqc,50.0,4.0,default/gate_count/i_19_cnt_50,82.0,62.0,8.0,90.0,0.0,0.0,-0.10796904563903809,10.0
138,qfast,50.0,4.0,default/gate_count/i_19_cnt_50,66.0,85.0,90.0,156.0,0.0,0.0,-33.61396503448486,22.0
139,pyzx,50.0,4.0,default/gate_count/i_19_cnt_50,41.0,31.0,6.0,47.0,0.0,0.0,-0.06461930274963379,20.0
140,default,50.0,4.0,default/gate_count/i_20_cnt_50,64.0,44.0,8.0,72.0,0.0,0.0,-4.76837158203125e-07,14.0
