,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
139,pyzx,50.0,4.0,default/tprob/i_19_t_pr_0.1,44.0,35.0,3.0,47.0,0.0,0.1,-0.06797552108764648,19.0
140,default,50.0,4.0,default/tprob/i_20_t_pr_0.1,75.0,37.0,7.0,82.0,0.0,0.1,-7.152557373046875e-07,16.0
141,tket,50.0,4.0,default/tprob/i_20_t_pr_0.1,46.0,26.0,6.0,52.0,0.0,0.1,-0.05476188659667969,11.0
142,qiskit,50.0,4.0,default/tprob/i_20_t_pr_0.1,73.0,35.0,7.0,80.0,0.0,0.1,-0.022098779678344727,14.0
143,tpar,50.0,4.0,default/tprob/i_20_t_pr_0.1,107.0,67.0,5.0,112.0,0.0,0.1,-0.08605432510375977,57.0
144,voqc,50.0,4.0,default/tprob/i_20_t_pr_0.1,104.0,54.0,5.0,109.0,0.0,0.1,-0.11621212959289551,14.0
145,qfast,50.0,4.0,default/tprob/i_20_t_pr_0.1,45.0,66.0,61.0,106.0,0.0,0.1,-8.26841139793396,15.0
146,pyzx,50.0,4.0,default/tprob/i_20_t_pr_0.1,45.0,35.0,5.0,50.0,0.0,0.1,-0.06910300254821777,26.0
147,default,50.0,4.0,default/tprob/i_21_t_pr_0.1,77.0,38.0,5.0,82.0,0.0,0.1,-4.76837158203125e-07,18.0
148,tket,50.0,4.0,default/tprob/i_21_t_pr_0.1,60.0,33.0,3.0,63.0,0.0,0.1,-0.055603981018066406,11.0
149,qiskit,50.0,4.0,default/tprob/i_21_t_pr_0.1,73.0,34.0,5.0,78.0,0.0,0.1,-0.018904685974121094,14.0
150,tpar,50.0,4.0,default/tprob/i_21_t_pr_0.1,68.0,36.0,3.0,71.0,0.0,0.1,-0.07356834411621094,19.0
151,voqc,50.0,4.0,default/tprob/i_21_t_pr_0.1,112.0,58.0,3.0,115.0,0.0,0.1,-0.1141214370727539,14.0
152,qfast,50.0,4.0,default/tprob/i_21_t_pr_0.1,39.0,49.0,53.0,92.0,0.0,0.1,-8.041251182556152,13.0
153,pyzx,50.0,4.0,default/tprob/i_21_t_pr_0.1,38.0,32.0,3.0,41.0,0.0,0.1,-0.061405181884765625,21.0
154,default,50.0,4.0,default/tprob/i_22_t_pr_0.1,74.0,48.0,4.0,78.0,0.0,0.1,-9.5367431640625e-07,16.0
155,tket,50.0,4.0,default/tprob/i_22_t_pr_0.1,66.0,43.0,2.0,68.0,0.0,0.1,-0.055557966232299805,12.0
156,qiskit,50.0,4.0,default/tprob/i_22_t_pr_0.1,72.0,45.0,4.0,76.0,0.0,0.1,-0.02039313316345215,14.0
157,tpar,50.0,4.0,default/tprob/i_22_t_pr_0.1,88.0,62.0,2.0,90.0,0.0,0.1,-0.07759952545166016,38.0
158,voqc,50.0,4.0,default/tprob/i_22_t_pr_0.1,100.0,66.0,2.0,102.0,0.0,0.1,-0.11298322677612305,14.0
159,qfast,50.0,4.0,default/tprob/i_22_t_pr_0.1,54.0,68.0,70.0,124.0,0.0,0.1,-13.704315900802612,18.0
160,pyzx,50.0,4.0,default/tprob/i_22_t_pr_0.1,34.0,22.0,2.0,36.0,0.0,0.1,-0.06188702583312988,13.0
161,default,50.0,4.0,default/tprob/i_23_t_pr_0.1,77.0,40.0,5.0,82.0,0.0,0.1,-4.76837158203125e-07,15.0
162,tket,50.0,4.0,default/tprob/i_23_t_pr_0.1,36.0,24.0,3.0,39.0,0.0,0.1,-0.052809953689575195,12.0
163,qiskit,50.0,4.0,default/tprob/i_23_t_pr_0.1,77.0,40.0,5.0,82.0,0.0,0.1,-0.021226882934570312,15.0
164,tpar,50.0,4.0,default/tprob/i_23_t_pr_0.1,73.0,53.0,5.0,78.0,0.0,0.1,-0.07770085334777832,33.0
165,voqc,50.0,4.0,default/tprob/i_23_t_pr_0.1,111.0,59.0,5.0,116.0,0.0,0.1,-0.11721038818359375,15.0
166,qfast,50.0,4.0,default/tprob/i_23_t_pr_0.1,60.0,82.0,82.0,142.0,0.0,0.1,-51.54694700241089,20.0
167,pyzx,50.0,4.0,default/tprob/i_23_t_pr_0.1,46.0,34.0,3.0,49.0,0.0,0.1,-0.06910490989685059,21.0
168,default,50.0,4.0,default/tprob/i_24_t_pr_0.1,73.0,40.0,5.0,78.0,0.0,0.1,-4.76837158203125e-07,18.0
169,tket,50.0,4.0,default/tprob/i_24_t_pr_0.1,52.0,34.0,3.0,55.0,0.0,0.1,-0.05516982078552246,14.0
170,qiskit,50.0,4.0,default/tprob/i_24_t_pr_0.1,71.0,37.0,5.0,76.0,0.0,0.1,-0.01918792724609375,16.0
171,tpar,50.0,4.0,default/tprob/i_24_t_pr_0.1,67.0,41.0,3.0,70.0,0.0,0.1,-0.07486581802368164,29.0
172,voqc,50.0,4.0,default/tprob/i_24_t_pr_0.1,105.0,57.0,3.0,108.0,0.0,0.1,-0.1749732494354248,16.0
173,qfast,50.0,4.0,default/tprob/i_24_t_pr_0.1,39.0,53.0,55.0,94.0,0.0,0.1,-9.617851257324219,13.0
174,pyzx,50.0,4.0,default/tprob/i_24_t_pr_0.1,33.0,28.0,3.0,36.0,0.0,0.1,-0.0625162124633789,17.0
175,default,50.0,4.0,default/tprob/i_25_t_pr_0.1,68.0,37.0,6.0,74.0,0.0,0.1,-7.152557373046875e-07,15.0
176,tket,50.0,4.0,default/tprob/i_25_t_pr_0.1,26.0,13.0,4.0,30.0,0.0,0.1,-0.05083131790161133,4.0
177,qiskit,50.0,4.0,default/tprob/i_25_t_pr_0.1,64.0,30.0,6.0,70.0,0.0,0.1,-0.016135692596435547,11.0
178,tpar,50.0,4.0,default/tprob/i_25_t_pr_0.1,50.0,29.0,4.0,54.0,0.0,0.1,-0.06749844551086426,15.0
179,voqc,50.0,4.0,default/tprob/i_25_t_pr_0.1,61.0,34.0,4.0,65.0,0.0,0.1,-0.10119175910949707,9.0
180,qfast,50.0,4.0,default/tprob/i_25_t_pr_0.1,57.0,76.0,75.0,132.0,0.0,0.1,-13.58411192893982,19.0
181,pyzx,50.0,4.0,default/tprob/i_25_t_pr_0.1,23.0,15.0,4.0,27.0,0.0,0.1,-0.056145668029785156,12.0
182,default,50.0,4.0,default/tprob/i_26_t_pr_0.1,85.0,42.0,3.0,88.0,0.0,0.1,-4.76837158203125e-07,19.0
183,tket,50.0,4.0,default/tprob/i_26_t_pr_0.1,44.0,30.0,1.0,45.0,0.0,0.1,-0.053551673889160156,13.0
184,qiskit,50.0,4.0,default/tprob/i_26_t_pr_0.1,81.0,42.0,3.0,84.0,0.0,0.1,-0.020804405212402344,15.0
185,tpar,50.0,4.0,default/tprob/i_26_t_pr_0.1,66.0,39.0,1.0,67.0,0.0,0.1,-0.07382965087890625,23.0
186,voqc,50.0,4.0,default/tprob/i_26_t_pr_0.1,105.0,61.0,1.0,106.0,0.0,0.1,-0.1741645336151123,15.0
187,qfast,50.0,4.0,default/tprob/i_26_t_pr_0.1,36.0,45.0,50.0,86.0,0.0,0.1,-7.71997857093811,12.0
188,pyzx,50.0,4.0,default/tprob/i_26_t_pr_0.1,37.0,33.0,1.0,38.0,0.0,0.1,-0.06490039825439453,21.0
189,default,50.0,4.0,default/tprob/i_27_t_pr_0.1,63.0,36.0,11.0,74.0,0.0,0.1,-7.152557373046875e-07,12.0
190,tket,50.0,4.0,default/tprob/i_27_t_pr_0.1,42.0,26.0,7.0,49.0,0.0,0.1,-0.05203676223754883,11.0
191,qiskit,50.0,4.0,default/tprob/i_27_t_pr_0.1,63.0,36.0,11.0,74.0,0.0,0.1,-0.0172116756439209,12.0
