,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,time_diff[s],two_qubit_count
133,default,50.0,3.0,qubits/i_19_num_qubits_3,67.0,46.0,13.0,80.0,-4.76837158203125e-07,8.0
134,tket,50.0,3.0,qubits/i_19_num_qubits_3,29.0,25.0,9.0,38.0,-0.05042886734008789,5.0
135,qiskit,50.0,3.0,qubits/i_19_num_qubits_3,67.0,46.0,13.0,80.0,-0.018082141876220703,8.0
136,tpar,50.0,3.0,qubits/i_19_num_qubits_3,55.0,37.0,7.0,62.0,-0.07018303871154785,10.0
137,voqc,50.0,3.0,qubits/i_19_num_qubits_3,85.0,60.0,7.0,92.0,-0.10838103294372559,8.0
138,qfast,50.0,3.0,qubits/i_19_num_qubits_3,21.0,30.0,24.0,45.0,-0.43203163146972656,7.0
139,pyzx,50.0,3.0,qubits/i_19_num_qubits_3,35.0,32.0,7.0,42.0,-0.06262373924255371,14.0
140,default,50.0,3.0,qubits/i_20_num_qubits_3,57.0,43.0,9.0,66.0,-9.5367431640625e-07,14.0
141,tket,50.0,3.0,qubits/i_20_num_qubits_3,38.0,28.0,9.0,47.0,-0.11129164695739746,8.0
142,qiskit,50.0,3.0,qubits/i_20_num_qubits_3,55.0,41.0,9.0,64.0,-0.016521692276000977,12.0
143,tpar,50.0,3.0,qubits/i_20_num_qubits_3,53.0,43.0,5.0,58.0,-0.07053422927856445,20.0
144,voqc,50.0,3.0,qubits/i_20_num_qubits_3,52.0,42.0,5.0,57.0,-0.10113668441772461,12.0
145,qfast,50.0,3.0,qubits/i_20_num_qubits_3,20.0,25.0,19.0,39.0,-0.3139948844909668,6.0
146,pyzx,50.0,3.0,qubits/i_20_num_qubits_3,23.0,18.0,5.0,28.0,-0.05797839164733887,8.0
147,default,50.0,3.0,qubits/i_21_num_qubits_3,78.0,42.0,12.0,90.0,-4.76837158203125e-07,8.0
148,tket,50.0,3.0,qubits/i_21_num_qubits_3,34.0,20.0,6.0,40.0,-0.11021995544433594,5.0
149,qiskit,50.0,3.0,qubits/i_21_num_qubits_3,76.0,42.0,12.0,88.0,-0.017007112503051758,6.0
150,tpar,50.0,3.0,qubits/i_21_num_qubits_3,62.0,38.0,6.0,68.0,-0.07024431228637695,19.0
151,voqc,50.0,3.0,qubits/i_21_num_qubits_3,106.0,62.0,6.0,112.0,-0.10878682136535645,6.0
152,qfast,50.0,3.0,qubits/i_21_num_qubits_3,18.0,22.0,21.0,39.0,-0.7030777931213379,6.0
153,pyzx,50.0,3.0,qubits/i_21_num_qubits_3,35.0,27.0,6.0,41.0,-0.06178760528564453,13.0
154,default,50.0,3.0,qubits/i_22_num_qubits_3,51.0,42.0,11.0,62.0,-7.152557373046875e-07,15.0
155,tket,50.0,3.0,qubits/i_22_num_qubits_3,30.0,29.0,5.0,35.0,-0.10716080665588379,5.0
156,qiskit,50.0,3.0,qubits/i_22_num_qubits_3,49.0,38.0,11.0,60.0,-0.017199993133544922,13.0
157,tpar,50.0,3.0,qubits/i_22_num_qubits_3,35.0,30.0,5.0,40.0,-0.06528544425964355,13.0
158,voqc,50.0,3.0,qubits/i_22_num_qubits_3,45.0,37.0,5.0,50.0,-0.09780049324035645,5.0
159,qfast,50.0,3.0,qubits/i_22_num_qubits_3,23.0,25.0,16.0,39.0,-0.30684828758239746,6.0
160,pyzx,50.0,3.0,qubits/i_22_num_qubits_3,32.0,27.0,5.0,37.0,-0.0574336051940918,11.0
161,default,50.0,3.0,qubits/i_23_num_qubits_3,56.0,44.0,14.0,70.0,-4.76837158203125e-07,15.0
162,tket,50.0,3.0,qubits/i_23_num_qubits_3,37.0,26.0,4.0,41.0,-0.05390477180480957,7.0
163,qiskit,50.0,3.0,qubits/i_23_num_qubits_3,56.0,44.0,14.0,70.0,-0.017427921295166016,15.0
164,tpar,50.0,3.0,qubits/i_23_num_qubits_3,48.0,33.0,4.0,52.0,-0.12749028205871582,16.0
165,voqc,50.0,3.0,qubits/i_23_num_qubits_3,80.0,58.0,4.0,84.0,-0.10626792907714844,15.0
166,qfast,50.0,3.0,qubits/i_23_num_qubits_3,17.0,23.0,16.0,33.0,-0.174940824508667,5.0
167,pyzx,50.0,3.0,qubits/i_23_num_qubits_3,20.0,13.0,4.0,24.0,-0.05677056312561035,6.0
168,default,50.0,3.0,qubits/i_24_num_qubits_3,71.0,44.0,9.0,80.0,-9.5367431640625e-07,10.0
169,tket,50.0,3.0,qubits/i_24_num_qubits_3,25.0,18.0,7.0,32.0,-0.050397634506225586,4.0
170,qiskit,50.0,3.0,qubits/i_24_num_qubits_3,69.0,42.0,9.0,78.0,-0.018235206604003906,8.0
171,tpar,50.0,3.0,qubits/i_24_num_qubits_3,61.0,41.0,5.0,66.0,-0.1311473846435547,10.0
172,voqc,50.0,3.0,qubits/i_24_num_qubits_3,89.0,50.0,5.0,94.0,-0.10632109642028809,6.0
173,qfast,50.0,3.0,qubits/i_24_num_qubits_3,15.0,20.0,18.0,33.0,-0.3281979560852051,5.0
174,pyzx,50.0,3.0,qubits/i_24_num_qubits_3,28.0,25.0,5.0,33.0,-0.05808448791503906,9.0
175,default,50.0,3.0,qubits/i_25_num_qubits_3,70.0,39.0,8.0,78.0,-7.152557373046875e-07,14.0
176,tket,50.0,3.0,qubits/i_25_num_qubits_3,40.0,32.0,4.0,44.0,-0.053349971771240234,8.0
177,qiskit,50.0,3.0,qubits/i_25_num_qubits_3,70.0,39.0,8.0,78.0,-0.018552780151367188,14.0
178,tpar,50.0,3.0,qubits/i_25_num_qubits_3,68.0,49.0,4.0,72.0,-0.13326430320739746,26.0
179,voqc,50.0,3.0,qubits/i_25_num_qubits_3,99.0,55.0,4.0,103.0,-0.10980534553527832,14.0
180,qfast,50.0,3.0,qubits/i_25_num_qubits_3,21.0,30.0,24.0,45.0,-0.6387543678283691,7.0
181,pyzx,50.0,3.0,qubits/i_25_num_qubits_3,27.0,24.0,4.0,31.0,-0.05973029136657715,13.0
182,default,50.0,3.0,qubits/i_26_num_qubits_3,72.0,42.0,8.0,80.0,-7.152557373046875e-07,11.0
183,tket,50.0,3.0,qubits/i_26_num_qubits_3,44.0,30.0,6.0,50.0,-0.053292274475097656,7.0
184,qiskit,50.0,3.0,qubits/i_26_num_qubits_3,72.0,42.0,8.0,80.0,-0.018312931060791016,11.0
185,tpar,50.0,3.0,qubits/i_26_num_qubits_3,59.0,40.0,6.0,65.0,-0.13266348838806152,23.0
186,voqc,50.0,3.0,qubits/i_26_num_qubits_3,79.0,52.0,6.0,85.0,-0.10628747940063477,11.0
187,qfast,50.0,3.0,qubits/i_26_num_qubits_3,19.0,22.0,20.0,39.0,-0.6744434833526611,6.0
188,pyzx,50.0,3.0,qubits/i_26_num_qubits_3,32.0,26.0,6.0,38.0,-0.062445640563964844,13.0
189,default,50.0,3.0,qubits/i_27_num_qubits_3,65.0,43.0,13.0,78.0,-4.76837158203125e-07,14.0
190,tket,50.0,3.0,qubits/i_27_num_qubits_3,48.0,33.0,7.0,55.0,-0.05237388610839844,9.0
191,qiskit,50.0,3.0,qubits/i_27_num_qubits_3,63.0,43.0,13.0,76.0,-0.018140077590942383,12.0
192,tpar,50.0,3.0,qubits/i_27_num_qubits_3,55.0,38.0,7.0,62.0,-0.13094353675842285,17.0
193,voqc,50.0,3.0,qubits/i_27_num_qubits_3,82.0,64.0,7.0,89.0,-0.10555005073547363,12.0
194,qfast,50.0,3.0,qubits/i_27_num_qubits_3,29.0,37.0,28.0,57.0,-1.6207249164581299,9.0
195,pyzx,50.0,3.0,qubits/i_27_num_qubits_3,33.0,27.0,7.0,40.0,-0.0635530948638916,15.0
196,default,50.0,3.0,qubits/i_28_num_qubits_3,62.0,44.0,14.0,76.0,-7.152557373046875e-07,14.0
197,tket,50.0,3.0,qubits/i_28_num_qubits_3,35.0,25.0,8.0,43.0,-0.05188131332397461,6.0
198,qiskit,50.0,3.0,qubits/i_28_num_qubits_3,62.0,44.0,14.0,76.0,-0.019100427627563477,14.0
199,tpar,50.0,3.0,qubits/i_28_num_qubits_3,61.0,45.0,4.0,65.0,-0.13132619857788086,24.0
200,voqc,50.0,3.0,qubits/i_28_num_qubits_3,70.0,44.0,4.0,74.0,-0.10245394706726074,12.0
201,qfast,50.0,3.0,qubits/i_28_num_qubits_3,18.0,28.0,21.0,39.0,-0.5496835708618164,6.0
202,pyzx,50.0,3.0,qubits/i_28_num_qubits_3,23.0,22.0,4.0,27.0,-0.05685830116271973,10.0
203,default,50.0,3.0,qubits/i_29_num_qubits_3,76.0,50.0,10.0,86.0,-9.5367431640625e-07,11.0
204,tket,50.0,3.0,qubits/i_29_num_qubits_3,62.0,36.0,6.0,68.0,-0.05475592613220215,8.0
205,qiskit,50.0,3.0,qubits/i_29_num_qubits_3,76.0,50.0,10.0,86.0,-0.021712303161621094,11.0
206,tpar,50.0,3.0,qubits/i_29_num_qubits_3,72.0,49.0,6.0,78.0,-0.13699555397033691,18.0
207,voqc,50.0,3.0,qubits/i_29_num_qubits_3,109.0,67.0,6.0,115.0,-0.113525390625,11.0
208,qfast,50.0,3.0,qubits/i_29_num_qubits_3,24.0,32.0,27.0,51.0,-1.0068986415863037,8.0
209,pyzx,50.0,3.0,qubits/i_29_num_qubits_3,34.0,26.0,6.0,40.0,-0.06291532516479492,9.0
210,default,50.0,3.0,qubits/i_30_num_qubits_3,64.0,49.0,10.0,74.0,-7.152557373046875e-07,11.0
211,tket,50.0,3.0,qubits/i_30_num_qubits_3,33.0,25.0,9.0,42.0,-0.04971790313720703,5.0
212,qiskit,50.0,3.0,qubits/i_30_num_qubits_3,64.0,49.0,10.0,74.0,-0.017910242080688477,11.0
213,tpar,50.0,3.0,qubits/i_30_num_qubits_3,53.0,41.0,4.0,57.0,-0.12994790077209473,12.0
214,voqc,50.0,3.0,qubits/i_30_num_qubits_3,68.0,66.0,4.0,72.0,-0.10374021530151367,11.0
215,qfast,50.0,3.0,qubits/i_30_num_qubits_3,21.0,27.0,24.0,45.0,-0.45167994499206543,7.0
216,pyzx,50.0,3.0,qubits/i_30_num_qubits_3,20.0,20.0,4.0,24.0,-0.055184364318847656,9.0
217,default,50.0,3.0,qubits/i_31_num_qubits_3,66.0,41.0,6.0,72.0,-4.76837158203125e-07,14.0
218,tket,50.0,3.0,qubits/i_31_num_qubits_3,42.0,27.0,9.0,51.0,-0.05174756050109863,8.0
219,qiskit,50.0,3.0,qubits/i_31_num_qubits_3,64.0,40.0,6.0,70.0,-0.017492294311523438,12.0
220,tpar,50.0,3.0,qubits/i_31_num_qubits_3,61.0,43.0,4.0,65.0,-0.13119816780090332,19.0
221,voqc,50.0,3.0,qubits/i_31_num_qubits_3,69.0,50.0,4.0,73.0,-0.1024174690246582,12.0
222,qfast,50.0,3.0,qubits/i_31_num_qubits_3,24.0,35.0,27.0,51.0,-0.9781081676483154,8.0
223,pyzx,50.0,3.0,qubits/i_31_num_qubits_3,33.0,27.0,4.0,37.0,-0.05896329879760742,12.0
224,default,50.0,3.0,qubits/i_32_num_qubits_3,67.0,48.0,11.0,78.0,-7.152557373046875e-07,10.0
225,tket,50.0,3.0,qubits/i_32_num_qubits_3,37.0,27.0,5.0,42.0,-0.05030250549316406,7.0
226,qiskit,50.0,3.0,qubits/i_32_num_qubits_3,67.0,48.0,11.0,78.0,-0.017313003540039062,10.0
