,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
163,qiskit,50.0,4.0,default/gate_count/i_23_cnt_50,56.0,37.0,18.0,74.0,0.0,0.0,-0.10215568542480469,8.0
164,tpar,50.0,4.0,default/gate_count/i_23_cnt_50,54.0,37.0,6.0,60.0,0.0,0.0,-0.04427170753479004,21.0
165,voqc,50.0,4.0,default/gate_count/i_23_cnt_50,77.0,52.0,6.0,83.0,0.0,0.0,-0.04628634452819824,8.0
166,qfast,50.0,4.0,default/gate_count/i_23_cnt_50,22.0,24.0,21.0,43.0,0.0,0.0,-0.044843435287475586,6.0
167,pyzx,50.0,4.0,default/gate_count/i_23_cnt_50,42.0,28.0,6.0,48.0,0.0,0.0,-0.042783498764038086,14.0
168,default,50.0,4.0,default/gate_count/i_24_cnt_50,68.0,36.0,12.0,80.0,0.0,0.0,-0.045456886291503906,15.0
169,tket,50.0,4.0,default/gate_count/i_24_cnt_50,50.0,35.0,10.0,60.0,0.0,0.0,-0.04345297813415527,13.0
170,qiskit,50.0,4.0,default/gate_count/i_24_cnt_50,68.0,36.0,12.0,80.0,0.0,0.0,-0.0456387996673584,15.0
171,tpar,50.0,4.0,default/gate_count/i_24_cnt_50,79.0,53.0,10.0,89.0,0.0,0.0,-0.048026323318481445,36.0
172,voqc,50.0,4.0,default/gate_count/i_24_cnt_50,105.0,57.0,10.0,115.0,0.0,0.0,-0.04915165901184082,15.0
173,qfast,50.0,4.0,default/gate_count/i_24_cnt_50,85.0,128.0,105.0,190.0,0.0,0.0,-0.06499361991882324,27.0
174,pyzx,50.0,4.0,default/gate_count/i_24_cnt_50,72.0,52.0,10.0,82.0,0.0,0.0,-0.043985843658447266,25.0
175,default,50.0,4.0,default/gate_count/i_25_cnt_50,66.0,44.0,12.0,78.0,0.0,0.0,-0.10125184059143066,15.0
176,tket,50.0,4.0,default/gate_count/i_25_cnt_50,59.0,37.0,14.0,73.0,0.0,0.0,-0.04485154151916504,9.0
177,qiskit,50.0,4.0,default/gate_count/i_25_cnt_50,64.0,44.0,12.0,76.0,0.0,0.0,-0.04494118690490723,13.0
178,tpar,50.0,4.0,default/gate_count/i_25_cnt_50,72.0,55.0,10.0,82.0,0.0,0.0,-0.04737257957458496,29.0
179,voqc,50.0,4.0,default/gate_count/i_25_cnt_50,96.0,69.0,10.0,106.0,0.0,0.0,-0.04792141914367676,13.0
180,qfast,50.0,4.0,default/gate_count/i_25_cnt_50,93.0,116.0,105.0,198.0,0.0,0.0,-0.06581735610961914,29.0
181,pyzx,50.0,4.0,default/gate_count/i_25_cnt_50,66.0,55.0,8.0,74.0,0.0,0.0,-0.04316091537475586,19.0
182,default,50.0,4.0,default/gate_count/i_26_cnt_50,67.0,39.0,11.0,78.0,0.0,0.0,-0.045340776443481445,14.0
183,tket,50.0,4.0,default/gate_count/i_26_cnt_50,37.0,25.0,7.0,44.0,0.0,0.0,-0.04267597198486328,9.0
184,qiskit,50.0,4.0,default/gate_count/i_26_cnt_50,63.0,37.0,11.0,74.0,0.0,0.0,-0.04487252235412598,10.0
185,tpar,50.0,4.0,default/gate_count/i_26_cnt_50,55.0,34.0,7.0,62.0,0.0,0.0,-0.04467010498046875,20.0
186,voqc,50.0,4.0,default/gate_count/i_26_cnt_50,80.0,45.0,7.0,87.0,0.0,0.0,-0.04576683044433594,10.0
187,qfast,50.0,4.0,default/gate_count/i_26_cnt_50,32.0,39.0,32.0,64.0,0.0,0.0,-0.04764389991760254,9.0
188,pyzx,50.0,4.0,default/gate_count/i_26_cnt_50,49.0,25.0,7.0,56.0,0.0,0.0,-0.09749913215637207,14.0
189,default,50.0,4.0,default/gate_count/i_27_cnt_50,51.0,32.0,15.0,66.0,0.0,0.0,-0.04382133483886719,12.0
190,tket,50.0,4.0,default/gate_count/i_27_cnt_50,36.0,24.0,9.0,45.0,0.0,0.0,-0.04226946830749512,8.0
191,qiskit,50.0,4.0,default/gate_count/i_27_cnt_50,51.0,32.0,15.0,66.0,0.0,0.0,-0.10146403312683105,12.0
192,tpar,50.0,4.0,default/gate_count/i_27_cnt_50,56.0,39.0,7.0,63.0,0.0,0.0,-0.044832468032836914,29.0
193,voqc,50.0,4.0,default/gate_count/i_27_cnt_50,62.0,39.0,7.0,69.0,0.0,0.0,-0.04450845718383789,10.0
194,qfast,50.0,4.0,default/gate_count/i_27_cnt_50,60.0,66.0,56.0,116.0,0.0,0.0,-0.054999351501464844,17.0
195,pyzx,50.0,4.0,default/gate_count/i_27_cnt_50,97.0,60.0,7.0,104.0,0.0,0.0,-0.04505586624145508,27.0
196,default,50.0,4.0,default/gate_count/i_28_cnt_50,63.0,34.0,11.0,74.0,0.0,0.0,-0.044727325439453125,12.0
197,tket,50.0,4.0,default/gate_count/i_28_cnt_50,41.0,27.0,3.0,44.0,0.0,0.0,-0.04216718673706055,7.0
