,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
164,tpar,50.0,3.0,default/qubits/i_23_num_qubits_3,67.0,48.0,10.0,77.0,0.0,0.0,-0.045858144760131836,23.0
165,voqc,50.0,3.0,default/qubits/i_23_num_qubits_3,86.0,54.0,10.0,96.0,0.0,0.0,-0.04727363586425781,11.0
166,qfast,50.0,3.0,default/qubits/i_23_num_qubits_3,26.0,27.0,18.0,44.0,0.0,0.0,-0.044707536697387695,7.0
167,pyzx,50.0,3.0,default/qubits/i_23_num_qubits_3,52.0,40.0,8.0,60.0,0.0,0.0,-0.10098743438720703,16.0
168,default,50.0,3.0,default/qubits/i_24_num_qubits_3,59.0,49.0,13.0,72.0,0.0,0.0,-0.04509687423706055,16.0
169,tket,50.0,3.0,default/qubits/i_24_num_qubits_3,59.0,45.0,11.0,70.0,0.0,0.0,-0.0444178581237793,10.0
170,qiskit,50.0,3.0,default/qubits/i_24_num_qubits_3,59.0,49.0,13.0,72.0,0.0,0.0,-0.10327482223510742,16.0
171,tpar,50.0,3.0,default/qubits/i_24_num_qubits_3,73.0,61.0,11.0,84.0,0.0,0.0,-0.04734921455383301,32.0
172,voqc,50.0,3.0,default/qubits/i_24_num_qubits_3,79.0,62.0,11.0,90.0,0.0,0.0,-0.04708600044250488,14.0
173,qfast,50.0,3.0,default/qubits/i_24_num_qubits_3,36.0,29.0,12.0,48.0,0.0,0.0,-0.04541182518005371,8.0
174,pyzx,50.0,3.0,default/qubits/i_24_num_qubits_3,63.0,45.0,9.0,72.0,0.0,0.0,-0.04310035705566406,17.0
175,default,50.0,3.0,default/qubits/i_25_num_qubits_3,43.0,38.0,17.0,60.0,0.0,0.0,-0.044229745864868164,12.0
176,tket,50.0,3.0,default/qubits/i_25_num_qubits_3,45.0,30.0,7.0,52.0,0.0,0.0,-0.043231964111328125,7.0
177,qiskit,50.0,3.0,default/qubits/i_25_num_qubits_3,39.0,33.0,17.0,56.0,0.0,0.0,-0.043332576751708984,8.0
178,tpar,50.0,3.0,default/qubits/i_25_num_qubits_3,41.0,40.0,7.0,48.0,0.0,0.0,-0.04375171661376953,20.0
179,voqc,50.0,3.0,default/qubits/i_25_num_qubits_3,41.0,34.0,7.0,48.0,0.0,0.0,-0.04305624961853027,8.0
180,qfast,50.0,3.0,default/qubits/i_25_num_qubits_3,33.0,34.0,17.0,50.0,0.0,0.0,-0.10114097595214844,8.0
